participantID,field,subject_condition,graph_condition,group,question,rating,check,order
s51040,Quantitative,warning,control,A,35,5,right,29
s51040,Quantitative,warning,truncated,A,36,1,right,22
s51040,Quantitative,warning,control,A,37,3,right,1
s51040,Quantitative,warning,truncated,A,38,3,right,8
s51040,Quantitative,warning,control,A,39,1,right,12
s51040,Quantitative,warning,truncated,A,4,4,right,11
s51040,Quantitative,warning,truncated,A,40,1,right,32
s51040,Quantitative,warning,control,A,5,4,right,7
s51040,Quantitative,warning,truncated,A,6,2,right,39
s51040,Quantitative,warning,control,A,7,4,right,4
s51040,Quantitative,warning,truncated,A,8,1,right,20
s51040,Quantitative,warning,control,A,9,2,right,13
s51041,Quantitative,no warning,control,A,1,4,NA,34
s51041,Quantitative,no warning,truncated,A,10,2,NA,17
s51041,Quantitative,no warning,control,A,11,4,NA,11
s51041,Quantitative,no warning,truncated,A,12,5,NA,3
s51041,Quantitative,no warning,control,A,13,5,NA,12
s51041,Quantitative,no warning,truncated,A,14,7,NA,38
s51041,Quantitative,no warning,control,A,15,5,NA,29
s51041,Quantitative,no warning,truncated,A,16,6,NA,14
s51041,Quantitative,no warning,control,A,17,2,NA,35
s51041,Quantitative,no warning,truncated,A,18,4,NA,26
s51041,Quantitative,no warning,control,A,19,4,NA,18
s51041,Quantitative,no warning,truncated,A,2,5,NA,32
s51041,Quantitative,no warning,truncated,A,20,5,NA,33
s51041,Quantitative,no warning,control,A,21,3,NA,22
s51041,Quantitative,no warning,truncated,A,22,3,NA,5
s51041,Quantitative,no warning,control,A,23,6,NA,28
s51041,Quantitative,no warning,truncated,A,24,3,NA,9
s51041,Quantitative,no warning,control,A,25,5,NA,13
s51041,Quantitative,no warning,truncated,A,26,5,NA,6
s51041,Quantitative,no warning,control,A,27,2,NA,1
s51041,Quantitative,no warning,truncated,A,28,6,NA,37
s51041,Quantitative,no warning,control,A,29,5,NA,40
s51041,Quantitative,no warning,control,A,3,2,NA,10
s51041,Quantitative,no warning,truncated,A,30,4,NA,30
s51041,Quantitative,no warning,control,A,31,5,NA,27
s51041,Quantitative,no warning,truncated,A,32,7,NA,21
s51041,Quantitative,no warning,control,A,33,2,NA,39
s51041,Quantitative,no warning,truncated,A,34,5,NA,25
s51041,Quantitative,no warning,control,A,35,4,NA,8
s51041,Quantitative,no warning,truncated,A,36,4,NA,7
s51041,Quantitative,no warning,control,A,37,3,NA,36
s51041,Quantitative,no warning,truncated,A,38,6,NA,2
s51041,Quantitative,no warning,control,A,39,1,NA,4
s51041,Quantitative,no warning,truncated,A,4,5,NA,15
s51041,Quantitative,no warning,truncated,A,40,4,NA,24
s51041,Quantitative,no warning,control,A,5,4,NA,20
s51041,Quantitative,no warning,truncated,A,6,4,NA,19
s51041,Quantitative,no warning,control,A,7,5,NA,31
s51041,Quantitative,no warning,truncated,A,8,5,NA,23
s51041,Quantitative,no warning,control,A,9,3,NA,16
s51042,Quantitative,warning,truncated,B,1,4,right,25
s51042,Quantitative,warning,control,B,10,5,right,35
s51042,Quantitative,warning,truncated,B,11,3,right,36
s51042,Quantitative,warning,control,B,12,4,right,5
s51042,Quantitative,warning,truncated,B,13,7,right,22
s51042,Quantitative,warning,control,B,14,7,right,30
s51042,Quantitative,warning,truncated,B,15,7,right,12
s51042,Quantitative,warning,control,B,16,3,right,15
s51042,Quantitative,warning,truncated,B,17,4,right,13
s51042,Quantitative,warning,control,B,18,4,right,11
s51042,Quantitative,warning,truncated,B,19,4,right,27
s51042,Quantitative,warning,control,B,2,4,right,3
s51042,Quantitative,warning,control,B,20,4,right,6
s51042,Quantitative,warning,truncated,B,21,2,right,2
s51042,Quantitative,warning,control,B,22,4,right,32
s51042,Quantitative,warning,truncated,B,23,3,right,33
s51042,Quantitative,warning,control,B,24,3,right,34
