participantID,field,duration,subject_condition,graph_condition,group,question,time
s51313,Humanities,8525,no warning,control,A,5,13.301
s51313,Humanities,8525,no warning,truncated,A,6,10.388
s51313,Humanities,8525,no warning,control,A,7,8.696
s51313,Humanities,8525,no warning,truncated,A,8,10.585
s51313,Humanities,8525,no warning,control,A,9,23.914
s51313,Humanities,8525,no warning,truncated,A,10,6801.232
s51313,Humanities,8525,no warning,control,A,11,16.638
s51313,Humanities,8525,no warning,truncated,A,12,15.194
s51313,Humanities,8525,no warning,control,A,13,47.011
s51313,Humanities,8525,no warning,truncated,A,14,18.388
s51313,Humanities,8525,no warning,control,A,15,23.195
s51313,Humanities,8525,no warning,truncated,A,16,5.436
s51313,Humanities,8525,no warning,control,A,17,17.216
s51313,Humanities,8525,no warning,truncated,A,18,11.538
s51313,Humanities,8525,no warning,control,A,19,32.167
s51313,Humanities,8525,no warning,truncated,A,20,7.324
s51313,Humanities,8525,no warning,control,A,21,20.031
s51313,Humanities,8525,no warning,truncated,A,22,38.179
s51313,Humanities,8525,no warning,control,A,23,7.46
s51313,Humanities,8525,no warning,truncated,A,24,115.503
s51313,Humanities,8525,no warning,control,A,25,14.163
s51313,Humanities,8525,no warning,truncated,A,26,56.763
s51313,Humanities,8525,no warning,control,A,27,42.443
s51313,Humanities,8525,no warning,truncated,A,28,23.622
s51313,Humanities,8525,no warning,control,A,29,6.166
s51313,Humanities,8525,no warning,truncated,A,30,21.478
s51313,Humanities,8525,no warning,control,A,31,11.238
s51313,Humanities,8525,no warning,truncated,A,32,12.378
s51313,Humanities,8525,no warning,control,A,33,225.516
s51313,Humanities,8525,no warning,truncated,A,34,23.445
s51313,Humanities,8525,no warning,control,A,35,24.627
s51313,Humanities,8525,no warning,truncated,A,36,37.423
s51313,Humanities,8525,no warning,control,A,37,15.883
s51313,Humanities,8525,no warning,truncated,A,38,31.866
s51313,Humanities,8525,no warning,control,A,39,13.864
s51313,Humanities,8525,no warning,truncated,A,40,37.835
s51314,Humanities,53338,warning,NA,B,instructions,30.456
s51314,Humanities,53338,warning,truncated,B,1,23.171
s51314,Humanities,53338,warning,control,B,2,18.938
s51314,Humanities,53338,warning,truncated,B,3,23.65
s51314,Humanities,53338,warning,control,B,4,39.401
s51314,Humanities,53338,warning,truncated,B,5,17.309
s51314,Humanities,53338,warning,control,B,6,24.662
s51314,Humanities,53338,warning,truncated,B,7,21.42
s51314,Humanities,53338,warning,control,B,8,29.461
s51314,Humanities,53338,warning,truncated,B,9,36.411
s51314,Humanities,53338,warning,control,B,10,9.372
s51314,Humanities,53338,warning,truncated,B,11,43.8
s51314,Humanities,53338,warning,control,B,12,22.816
s51314,Humanities,53338,warning,truncated,B,13,43.464
s51314,Humanities,53338,warning,control,B,14,11.873
s51314,Humanities,53338,warning,truncated,B,15,44.174
s51314,Humanities,53338,warning,control,B,16,17.865
s51314,Humanities,53338,warning,truncated,B,17,10.345
s51314,Humanities,53338,warning,control,B,18,8.876
s51314,Humanities,53338,warning,truncated,B,19,48.725
s51314,Humanities,53338,warning,control,B,20,13.601
s51314,Humanities,53338,warning,truncated,B,21,22.777
s51314,Humanities,53338,warning,control,B,22,6.975
s51314,Humanities,53338,warning,truncated,B,23,20.702
s51314,Humanities,53338,warning,control,B,24,11.338
s51314,Humanities,53338,warning,truncated,B,25,9.01
s51314,Humanities,53338,warning,control,B,26,16.623
s51314,Humanities,53338,warning,truncated,B,27,19.989
s51314,Humanities,53338,warning,control,B,28,15.792
s51314,Humanities,53338,warning,truncated,B,29,29.77
s51314,Humanities,53338,warning,control,B,30,12.511
s51314,Humanities,53338,warning,truncated,B,31,21.365
