participantID,duration,subject_condition,graph_condition,group,question,time
s31100,436,warning,control,B,12,7.921
s31100,436,warning,truncated,B,13,5.209
s31100,436,warning,control,B,14,5.181
s31100,436,warning,truncated,B,15,7.298
s31100,436,warning,control,B,16,9.392
s31100,436,warning,truncated,B,17,7.756
s31100,436,warning,control,B,18,5.404
s31100,436,warning,truncated,B,19,5.169
s31100,436,warning,control,B,20,7.145
s31100,436,warning,truncated,B,21,6.34
s31100,436,warning,control,B,22,7.827
s31100,436,warning,truncated,B,23,4.333
s31100,436,warning,control,B,24,5.156
s31100,436,warning,truncated,B,25,4.548
s31100,436,warning,control,B,26,8.149
s31100,436,warning,truncated,B,27,12.82
s31100,436,warning,control,B,28,7.154
s31100,436,warning,truncated,B,29,5.318
s31100,436,warning,control,B,30,5.156
s31100,436,warning,truncated,B,31,4.673
s31100,436,warning,control,B,32,5.442
s31100,436,warning,truncated,B,33,8.102
s31100,436,warning,control,B,34,5.831
s31100,436,warning,truncated,B,35,5.46
s31100,436,warning,control,B,36,6.249
s31100,436,warning,truncated,B,37,7.61
s31100,436,warning,control,B,38,11.539
s31100,436,warning,truncated,B,39,3.303
s31100,436,warning,control,B,40,5.664
s31101,3882,warning,NA,B,instructions,39.487
s31101,3882,warning,truncated,B,1,1.268
s31101,3882,warning,control,B,2,0.391
s31101,3882,warning,truncated,B,3,0.438
s31101,3882,warning,control,B,4,0.331
s31101,3882,warning,truncated,B,5,1.038
s31101,3882,warning,control,B,6,2.568
s31101,3882,warning,truncated,B,7,0.353
s31101,3882,warning,control,B,8,1.124
s31101,3882,warning,truncated,B,9,0.888
s31101,3882,warning,control,B,10,1.208
s31101,3882,warning,truncated,B,11,0.484
s31101,3882,warning,control,B,12,1.217
s31101,3882,warning,truncated,B,13,1.275
s31101,3882,warning,control,B,14,0.898
s31101,3882,warning,truncated,B,15,1.326
s31101,3882,warning,control,B,16,0.737
s31101,3882,warning,truncated,B,17,0.442
s31101,3882,warning,control,B,18,0.449
s31101,3882,warning,truncated,B,19,0.379
